_id,jobid,position,location,company,remote,status,description,joburl,category,subcategory,tags
242,1614ab87-e2cc-42d5-86d0-224056467965,"Sr. Director, Sales Operations","San Francisco, CA",na,False,True,na,https://jobs.lever.co/nylas/1614ab87-e2cc-42d5-86d0-224056467965,Director,Operations,tags
243,376009dc-0aa9-40dd-827a-679ffb8d63f0,Solutions Engineer I,"Denver, CO",na,False,True,na,https://jobs.lever.co/nylas/376009dc-0aa9-40dd-827a-679ffb8d63f0,Engineering,Sales,tags
244,37d87319-3e00-4376-b679-f986f48c65cb,Solutions Engineer II,London,na,False,True,na,https://jobs.lever.co/nylas/37d87319-3e00-4376-b679-f986f48c65cb,Engineering,Sales,tags
245,ad91a8e1-57d8-41bd-9ccf-e214643a83f2,Digital Product Designer ,Remote,na,True,True,na,https://jobs.lever.co/theorem/ad91a8e1-57d8-41bd-9ccf-e214643a83f2,Art,Product,tags
246,bda60240-c075-4d0a-920b-db3e2028d9f4,Technical Product Strategist - Discovery ,Remote,na,True,True,na,https://jobs.lever.co/theorem/bda60240-c075-4d0a-920b-db3e2028d9f4,Discovery – Product Strategist,Discovery,tags
247,d12bda69-3a7e-458b-8e0e-e8a3b736ce56,"Program Director, Custom Software ",Remote,na,True,True,na,https://jobs.lever.co/theorem/d12bda69-3a7e-458b-8e0e-e8a3b736ce56,Director,Software,tags
248,00271a8d-dc10-409e-9083-fab4371838e8, Backend Engineer  - C# / .NET Core ,Remote,na,True,True,na,https://jobs.lever.co/theorem/00271a8d-dc10-409e-9083-fab4371838e8,Engineering,Backend,tags
249,65abd071-5bdd-4322-bd55-87b831dde5e1, Backend Engineer - Ruby,Remote,na,True,True,na,https://jobs.lever.co/theorem/65abd071-5bdd-4322-bd55-87b831dde5e1,Engineering,Backend,tags
250,5e335f20-bc53-4c6c-ba5c-6548b3da3797, Backend Engineer - Python,Remote,na,True,True,na,https://jobs.lever.co/theorem/5e335f20-bc53-4c6c-ba5c-6548b3da3797,Engineering,Backend,tags
251,be164e56-7108-4d35-a2f3-a211b5405a5d,IT & Security Administrator,Remote,na,True,True,na,https://jobs.lever.co/theorem/be164e56-7108-4d35-a2f3-a211b5405a5d,Engineering,Administrator,tags
252,29c783f8-e647-402a-9d1a-5f44e1d077aa,Technical System Analyst,Remote,na,True,True,na,https://jobs.lever.co/theorem/29c783f8-e647-402a-9d1a-5f44e1d077aa,Engineering – Engineering,Analyst,tags
253,b349b166-6c88-4e8d-8dd8-ebc919c96859,Engineering Manager ,Remote,na,True,True,na,https://jobs.lever.co/theorem/b349b166-6c88-4e8d-8dd8-ebc919c96859,Engineering,na ,tags
254,ded5da42-b1a6-47c3-85d4-26d9f6ccc8f9, Frontend Engineer - React ,Remote,na,True,True,na,https://jobs.lever.co/theorem/ded5da42-b1a6-47c3-85d4-26d9f6ccc8f9,Engineering,Frontend,tags
255,a698cac9-4d01-499f-85ed-71db847f1d92, Full Stack Engineer ,Remote,na,True,True,na,https://jobs.lever.co/theorem/a698cac9-4d01-499f-85ed-71db847f1d92,Engineering,Full Stack,tags
256,74959aef-e0c7-4767-80bf-93f105930aa7, Backend Engineer - Java ,Remote,na,True,True,na,https://jobs.lever.co/theorem/74959aef-e0c7-4767-80bf-93f105930aa7,Engineering,Backend,tags
257,b9a1d016-32b6-4940-a267-571296bd146f, Quality Assurance Engineer,Remote,na,True,True,na,https://jobs.lever.co/theorem/b9a1d016-32b6-4940-a267-571296bd146f,Engineering,Quality Assurance,tags
258,1bd992ea-20e7-4112-a520-0cda467cd0a8,Product Engineering Strategist ,Remote,na,True,True,na,https://jobs.lever.co/theorem/1bd992ea-20e7-4112-a520-0cda467cd0a8,Engineering,Product,tags
259,ca04c17d-4baa-4d63-a616-06f844329f07,General Application,Remote,na,True,True,na,https://jobs.lever.co/theorem/ca04c17d-4baa-4d63-a616-06f844329f07,Application,Application,tags
260,b2941bc9-5c7c-497f-aa97-8fbc856f1a12,General Application - Leadership,Remote,na,True,True,na,https://jobs.lever.co/theorem/b2941bc9-5c7c-497f-aa97-8fbc856f1a12,Application,Application,tags
261,775c2b1f-016c-4cd2-b1b6-3f9e13b992bf,Product Manager ,Remote,na,True,True,na,https://jobs.lever.co/theorem/775c2b1f-016c-4cd2-b1b6-3f9e13b992bf,Manager,Product,tags
